airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
RHO,RHO,Rhodes Diagoras,Rhodos,Greece,36.405419,28.086192,EUR,1,1
GPA,GPA,Araxos,Patras,Greece,38.151111,21.425556,EUR,1,1
CHQ,CHQ,Souda,Chania,Greece,35.531747,24.149678,EUR,1,1
JSI,JSI,Alexandros Papadiamantis,Skiathos,Greece,39.1771,23.503675,EUR,1,1
SMI,SMI,Samos,Samos,Greece,37.689999,26.911667,EUR,1,1
JTR,JTR,Santorini,Thira,Greece,36.399169,25.479333,EUR,1,1
JSH,JSH,Sitia,Sitia,Greece,35.216108,26.101325,EUR,1,1
SKU,SKU,Skiros,Skiros,Greece,38.967553,24.487228,EUR,1,1
SKG,SKG,Makedonia,Thessaloniki,Greece,40.519725,22.97095,EUR,1,1
ZTH,ZTH,Dionysios Solomos,Zakynthos,Greece,37.750853,20.88425,EUR,1,1
ATH,ATH,Eleftherios Venizelos Intl,Athens,Greece,37.936358,23.944467,EUR,1,1
JTY,JTY,Astypalaia,Astypalaia,Greece,36.579886,26.375822,EUR,1,1
JIK,JIK,Ikaria,Ikaria,Greece,37.682717,26.347061,EUR,1,1
JKL,JKL,Kalymnos Island,Kalymnos,Greece,36.963333,26.940556,EUR,1,1
MLO,MLO,Milos,Milos,Greece,36.696111,24.4775,EUR,1,1
JNX,JNX,Naxos,Cyclades Islands,Greece,37.080556,25.368056,EUR,1,1
PAS,PAS,Paros,Paros,Greece,37.010278,25.127778,EUR,1,1
KZS,KZS,Kastelorizo,Kastelorizo,Greece,36.127777,29.566656,EUR,1,1
HEW,HEW,Athen Helenikon Airport,Athens,Greece,37.8933,23.7261,EUR,1,1
JSY,JSY,Syros Airport,Syros Island,Greece,37.422792,24.950936,EUR,1,1
SFG,SFG,Grand Case,St. Martin,Guadeloupe,18.099914,-63.047197,EUR,1,1
PTP,PTP,Le Raizet,Pointe-a-pitre,Guadeloupe,16.265306,-61.531806,EUR,1,1
GBJ,GBJ,Les Bases Airport,Grand Bourg,Guadeloupe,15.86875,-61.270022,EUR,1,1
SFC,SFC,St-François Airport,St-François,Guadeloupe,16.2578,-61.2625,EUR,1,1
BBR,BBR,Baillif Airport,Basse Terre,Guadeloupe,16.0133,-61.7422,EUR,1,1
DSD,DSD,La Désirade Airport,Grande Anse,Guadeloupe,16.2969,-61.0844,EUR,1,1
LSS,LSS,Terre-de-Haut Airport,Les Saintes,Guadeloupe,15.8644,-61.5806,EUR,1,1
ORK,ORK,Cork,Cork,Ireland,51.841269,-8.491111,EUR,1,1
GWY,GWY,Galway,Galway,Ireland,53.300175,-8.941592,EUR,1,1
DUB,DUB,Dublin,Dublin,Ireland,53.421333,-6.270075,EUR,1,1
NOC,NOC,Ireland West Knock,Connaught,Ireland,53.910297,-8.818492,EUR,1,1
KIR,KIR,Kerry,Kerry,Ireland,52.180878,-9.523783,EUR,1,1
SNN,SNN,Shannon,Shannon,Ireland,52.701978,-8.924817,EUR,1,1
SXL,SXL,Sligo,Sligo,Ireland,54.280214,-8.599206,EUR,1,1
WAT,WAT,Waterford,Waterford,Ireland,52.1872,-7.086964,EUR,1,1
CFN,CFN,Donegal Airport,Dongloe,Ireland,55.044192,-8.341,EUR,1,1
IOR,IOR,Inishmore Airport,Inis Mor,Ireland,53.1067,-9.65361,EUR,1,1
NNR,NNR,Connemara Regional Airport,Indreabhan,Ireland,53.2303,-9.46778,EUR,1,1
INQ,INQ,Inisheer,Inisheer,Ireland,53.0647,-9.5109,EUR,1,1
IIA,IIA,Inishmaan Aerodrome,Inishmaan,Ireland,53.091944,-9.57,EUR,1,1
BYT,BYT,Bantry Aerodrome,Bantry,Ireland,51.668598,-9.48417,EUR,1,1
CHE,CHE,Reeroe Airport,Caherciveen,Ireland,51.933334,-10.233333,EUR,1,1
CRV,CRV,Crotone,Crotone,Italy,38.997225,17.080169,EUR,1,1
BRI,BRI,Bari,Bari,Italy,41.138856,16.760594,EUR,1,1
FOG,FOG,Gino Lisa,Foggia,Italy,41.432917,15.535028,EUR,1,1
TAR,TAR,Grottaglie,Grottaglie,Italy,40.517514,17.403212,EUR,1,1
LCC,LCC,Lecce,Lecce,Italy,40.239228,18.133325,EUR,1,1
PSR,PSR,Pescara,Pescara,Italy,42.431656,14.181067,EUR,1,1
BDS,BDS,Casale,Brindisi,Italy,40.657633,17.947033,EUR,1,1
SUF,SUF,Lamezia Terme,Lamezia,Italy,38.905394,16.242269,EUR,1,1
CTA,CTA,Catania Fontanarossa,Catania,Italy,37.466781,15.0664,EUR,1,1
LMP,LMP,Lampedusa,Lampedusa,Italy,35.497914,12.618083,EUR,1,1
PNL,PNL,Pantelleria,Pantelleria,Italy,36.816519,11.968864,EUR,1,1
PMO,PMO,Palermo,Palermo,Italy,38.175958,13.091019,EUR,1,1
REG,REG,Reggio Calabria,Reggio Calabria,Italy,38.071206,15.651556,EUR,1,1
TPS,TPS,Trapani Birgi,Trapani,Italy,37.911403,12.487961,EUR,1,1
NSY,NSY,Sigonella,Sigonella,Italy,37.401664,14.922358,EUR,1,1
AHO,AHO,Alghero,Alghero,Italy,40.632133,8.290772,EUR,1,1
DCI,DCI,Decimomannu,Decimomannu,Italy,39.354222,8.972481,EUR,1,1
CAG,CAG,Elmas,Cagliari,Italy,39.251469,9.054283,EUR,1,1
OLB,OLB,Olbia Costa Smeralda,Olbia,Italy,40.898661,9.517628,EUR,1,1
TTB,TTB,Tortoli,Tortoli,Italy,39.918761,9.682981,EUR,1,1
MXP,MXP,Malpensa,Milano,Italy,45.630606,8.728111,EUR,1,1
BGY,BGY,Bergamo Orio Al Serio,Bergamo,Italy,45.673889,9.704166,EUR,1,1
TRN,TRN,Torino,Torino,Italy,45.200761,7.649631,EUR,1,1
ALL,ALL,Albenga,Albenga,Italy,44.050608,8.127428,EUR,1,1
GOA,GOA,Genova Sestri,Genoa,Italy,44.413333,8.8375,EUR,1,1
LIN,LIN,Linate,Milan,Italy,45.445103,9.276739,EUR,1,1
PMF,PMF,Parma,Parma,Italy,44.824483,10.296367,EUR,1,1
QPZ,QPZ,Piacenza,Piacenza,Italy,44.913055,9.723333,EUR,1,1
CUF,CUF,Levaldigi,Cuneo,Italy,44.547019,7.623217,EUR,1,1
AVB,AVB,Aviano Ab,Aviano,Italy,46.031889,12.596472,EUR,1,1
BZO,BZO,Bolzano,Bolzano,Italy,46.460194,11.326383,EUR,1,1
BLQ,BLQ,Bologna,Bologna,Italy,44.535444,11.288667,EUR,1,1
TSF,TSF,Treviso,Treviso,Italy,45.6484,12.194422,EUR,1,1
FRL,FRL,Forli,Forli,Italy,44.194753,12.070094,EUR,1,1
VBS,VBS,Montichiari,Brescia,Italy,45.428889,10.330556,EUR,1,1
TRS,TRS,Ronchi Dei Legionari,Ronchi De Legionari,Italy,45.8275,13.472222,EUR,1,1
RMI,RMI,Rimini,Rimini,Italy,44.020292,12.611747,EUR,1,1
VIC,VIC,Vicenza,Vicenza,Italy,45.573411,11.52955,EUR,1,1
QPA,QPA,Padova,Padova,Italy,45.395767,11.847903,EUR,1,1
VRN,VRN,Villafranca,Villafranca,Italy,45.395706,10.888533,EUR,1,1
VCE,VCE,Venezia Tessera,Venice,Italy,45.505278,12.351944,EUR,1,1
SAY,SAY,Ampugnano,Siena,Italy,43.256286,11.255036,EUR,1,1
CIA,CIA,Ciampino,Rome,Italy,41.799361,12.594936,EUR,1,1
FCO,FCO,Fiumicino,Rome,Italy,41.804475,12.250797,EUR,1,1
EBA,EBA,Marina Di Campo,Marina Di Campo,Italy,42.760277,10.239445,EUR,1,1
QLT,QLT,Latina,Latina,Italy,41.542436,12.909019,EUR,1,1
NAP,NAP,Capodichino,Naples,Italy,40.886033,14.290781,EUR,1,1
PSA,PSA,Pisa,Pisa,Italy,43.683917,10.39275,EUR,1,1
FLR,FLR,Firenze,Florence,Italy,43.809953,11.2051,EUR,1,1
GRS,GRS,Grosseto,Grosseto,Italy,42.759747,11.071897,EUR,1,1
PEG,PEG,Perugia,Perugia,Italy,43.095906,12.513222,EUR,1,1
AOI,AOI,Falconara,Ancona,Italy,43.616389,13.362222,EUR,1,1
QSR,QSR,Salerno Pontecagnano Airport,Salerno,Italy,40.6204,14.911294,EUR,1,1
AOT,AOT,Aosta Airport,Aosta,Italy,45.738456,7.368719,EUR,1,1
TQR,TQR,San Domino Island Heliport,Tremiti Islands,Italy,42.1025,15.488,EUR,1,1
FNU,FNU,Fenosu,Oristano,Italy,39.895,8.6383,EUR,1,1
VIF,VIF,Vieste Heliport,Vieste,Italy,41.885277,16.176945,EUR,1,1
MIL,MIL,All Airports,Milan,Italy,45.463611,9.188056,EUR,1,1
CIY,CIY,Comiso,Comiso,Italy,37,14.6144,EUR,1,1
LPX,LPX,Liepaja Intl,Liepaja,Latvia,56.5175,21.096944,EUR,1,1
RIX,RIX,Riga Intl,Riga,Latvia,56.923611,23.971111,EUR,1,1
VTS,VTS,Ventspils International Airport,Ventspils,Latvia,57.357778,21.544167,EUR,1,1
SQQ,SQQ,Siauliai Intl,Siauliai,Lithuania,55.893886,23.394975,EUR,1,1
HLJ,HLJ,Barysiai,Barysiai,Lithuania,56.070556,23.558056,EUR,1,1
KUN,KUN,Kaunas Intl,Kaunas,Lithuania,54.963919,24.084778,EUR,1,1
PLQ,PLQ,Palanga Intl,Palanga,Lithuania,55.973228,21.093856,EUR,1,1
VNO,VNO,Vilnius Intl,Vilnius,Lithuania,54.634133,25.285767,EUR,1,1
PNV,PNV,Pajuostis,Panevezys,Lithuania,55.729444,24.460833,EUR,1,1
LUX,LUX,Luxembourg,Luxemburg,Luxembourg,49.626575,6.211517,EUR,1,1
MLA,MLA,Luqa,Malta,Malta,35.857497,14.4775,EUR,1,1
GZM,GZM,Xewkija Heliport,Gozo,Malta,36.027222,14.272778,EUR,1,1
JCO,JCO,Comino Airport,Comino,Malta,36.016,14.333,EUR,1,1
FDF,FDF,Le Lamentin,Fort-de-france,Martinique,14.591033,-61.003175,EUR,1,1
DZA,DZA,Dzaoudzi Pamandzi,Dzaoudzi,Mayotte,-12.804722,45.281113,EUR,1,1
MCM,MCM,Monaco,Monaco,Monaco,43.73333333,7.41666666,EUR,1,1
TGD,TGD,Podgorica,Podgorica,Montenegro,42.359392,19.251894,EUR,1,1
TIV,TIV,Tivat,Tivat,Montenegro,42.404664,18.723286,EUR,1,1
AMS,AMS,Schiphol,Amsterdam,Netherlands,52.308613,4.763889,EUR,1,1
MST,MST,Maastricht,Maastricht,Netherlands,50.911658,5.770144,EUR,1,1
EIN,EIN,Eindhoven,Eindhoven,Netherlands,51.450139,5.374528,EUR,1,1
GRQ,GRQ,Eelde,Groningen,Netherlands,53.11972,6.579444,EUR,1,1
DHR,DHR,De Kooy,De Kooy,Netherlands,52.923353,4.780625,EUR,1,1
LWR,LWR,Leeuwarden,Leeuwarden,Netherlands,53.228611,5.760556,EUR,1,1
RTM,RTM,Rotterdam,Rotterdam,Netherlands,51.956944,4.437222,EUR,1,1
UTC,UTC,Soesterberg,Soesterberg,Netherlands,52.1273,5.27619,EUR,1,1
ENS,ENS,Twenthe,Enschede,Netherlands,52.27,6.874167,EUR,1,1
LID,LID,Valkenburg,Valkenburg,Netherlands,52.166139,4.417944,EUR,1,1
WOE,WOE,Woensdrecht,Woensdrecht,Netherlands,51.449092,4.342031,EUR,1,1
QYI,QYI,Hilversum Railway Station,Hilversum,Netherlands,52.226389,5.181667,EUR,1,1
LEY,LEY,Lelystad Airport,Lelystad,Netherlands,52.4603,5.52722,EUR,1,1
ZYA,ZYA,Amsterdam Centraal,Amsterdam,Netherlands,52.7873,4.90074,EUR,1,1
UDE,UDE,Volkel AB,Volkel,Netherlands,51.656389,5.708611,EUR,1,1
QRH,QRH,Centraal,Rotterdam,Netherlands,51.924444,4.469444,EUR,1,1
BON,BON,Flamingo,Kralendijk,Netherlands,12.131044,-68.268511,EUR,1,1
EUX,EUX,F D Roosevelt,Oranjestad,Netherlands,17.496492,-62.979439,EUR,1,1
SAB,SAB,Juancho E. Yrausquin,Saba,Netherlands,17.645278,-63.220556,EUR,1,1
SMA,SMA,Santa Maria,Santa Maria (island),Portugal,36.97139,-25.170639,EUR,1,1
BGC,BGC,Braganca,Braganca,Portugal,41.8578,-6.707125,EUR,1,1
FLW,FLW,Flores,Flores,Portugal,39.455272,-31.131361,EUR,1,1
FAO,FAO,Faro,Faro,Portugal,37.014425,-7.965911,EUR,1,1
GRW,GRW,Graciosa,Graciosa Island,Portugal,39.092169,-28.029847,EUR,1,1
HOR,HOR,Horta,Horta,Portugal,38.519894,-28.715872,EUR,1,1
TER,TER,Lajes,Lajes (terceira Island),Portugal,38.761842,-27.090797,EUR,1,1
PDL,PDL,Ponta Delgada,Ponta Delgada,Portugal,37.741184,-25.69787,EUR,1,1
PIX,PIX,Pico,Pico,Portugal,38.554333,-28.441333,EUR,1,1
OPO,OPO,Porto,Porto,Portugal,41.248055,-8.681389,EUR,1,1
PXO,PXO,Porto Santo,Porto Santo,Portugal,33.073386,-16.349975,EUR,1,1
LIS,LIS,Lisboa,Lisbon,Portugal,38.781311,-9.135919,EUR,1,1
SJZ,SJZ,Sao Jorge,Sao Jorge Island,Portugal,38.6655,-28.175817,EUR,1,1
VRL,VRL,Vila Real,Vila Real,Portugal,41.274334,-7.720472,EUR,1,1
FNC,FNC,Madeira,Funchal,Portugal,32.697889,-16.774453,EUR,1,1
CVU,CVU,Corvo Airport,Corvo,Portugal,39.6715,-31.1136,EUR,1,1
RUN,RUN,St Denis Gillot,St.-denis,Reunion,-20.8871,55.510308,EUR,1,1
ZSE,ZSE,St Pierre Pierrefonds,St.-pierre,Reunion,-21.320039,55.423581,EUR,1,1
MQC,MQC,Miquelon,Miquelon,Saint Pierre and Miquelon,47.095472,-56.380278,EUR,1,1
FSP,FSP,St Pierre,St.-pierre,Saint Pierre and Miquelon,46.762904,-56.173088,EUR,1,1
BTS,BTS,M R Stefanik,Bratislava,Slovakia,48.170167,17.212667,EUR,1,1
KSC,KSC,Kosice,Kosice,Slovakia,48.663055,21.241112,EUR,1,1
PZY,PZY,Piestany,Piestany,Slovakia,48.625247,17.828444,EUR,1,1
SLD,SLD,Sliac,Sliac,Slovakia,48.637839,19.134108,EUR,1,1
TAT,TAT,Tatry,Poprad,Slovakia,49.073594,20.241142,EUR,1,1
ILZ,ILZ,Žilina Airport,Žilina,Slovakia,49.231528,18.6135,EUR,1,1
LJU,LJU,Ljubljana,Ljubljana,Slovenia,46.223686,14.457611,EUR,1,1
MBX,MBX,Maribor,Maribor,Slovenia,46.479861,15.686131,EUR,1,1
POW,POW,Portoroz,Portoroz,Slovenia,45.473353,13.614978,EUR,1,1
FUE,FUE,Fuerteventura,Fuerteventura,Spain,28.452717,-13.863761,EUR,1,1
VDE,VDE,Hierro,Hierro,Spain,27.814847,-17.887056,EUR,1,1
SPC,SPC,La Palma,Santa Cruz De La Palma,Spain,28.626478,-17.755611,EUR,1,1
LPA,LPA,Gran Canaria,Gran Canaria,Spain,27.931886,-15.386586,EUR,1,1
ACE,ACE,Lanzarote,Las Palmas,Spain,28.945464,-13.605225,EUR,1,1
TFS,TFS,Tenerife Sur,Tenerife,Spain,28.044475,-16.572489,EUR,1,1
TFN,TFN,Tenerife Norte,Tenerife,Spain,28.482653,-16.341536,EUR,1,1
MLN,MLN,Melilla,Melilla,Spain,35.279817,-2.956256,EUR,1,1
ALC,ALC,Alicante,Alicante,Spain,38.282169,-0.558156,EUR,1,1
LEI,LEI,Almeria,Almeria,Spain,36.843936,-2.370097,EUR,1,1
OVD,OVD,Asturias,Aviles,Spain,43.563567,-6.034622,EUR,1,1
ODB,ODB,Cordoba,Cordoba,Spain,37.842006,-4.848878,EUR,1,1
BIO,BIO,Bilbao,Bilbao,Spain,43.301097,-2.910608,EUR,1,1
BCN,BCN,Barcelona,Barcelona,Spain,41.297078,2.078464,EUR,1,1
BJZ,BJZ,Talavera La Real,Badajoz,Spain,38.89125,-6.821333,EUR,1,1
LCG,LCG,A Coruna,La Coruna,Spain,43.302061,-8.377256,EUR,1,1
GRO,GRO,Girona,Gerona,Spain,41.900969,2.760547,EUR,1,1
GRX,GRX,Granada,Granada,Spain,37.188731,-3.777356,EUR,1,1
IBZ,IBZ,Ibiza,Ibiza,Spain,38.872858,1.373117,EUR,1,1
XRY,XRY,Jerez,Jerez,Spain,36.744622,-6.060111,EUR,1,1
MJV,MJV,Murcia San Javier,Murcia,Spain,37.774972,-0.812389,EUR,1,1
MAD,MAD,Barajas,Madrid,Spain,40.493556,-3.566764,EUR,1,1
AGP,AGP,Malaga,Malaga,Spain,36.6749,-4.499106,EUR,1,1
MAH,MAH,Menorca,Menorca,Spain,39.862597,4.218647,EUR,1,1
OZP,OZP,Moron Ab,Sevilla,Spain,37.174917,-5.615944,EUR,1,1
PNA,PNA,Pamplona,Pamplona,Spain,42.770039,-1.646331,EUR,1,1
REU,REU,Reus,Reus,Spain,41.147392,1.167172,EUR,1,1
SLM,SLM,Salamanca,Salamanca,Spain,40.952117,-5.501986,EUR,1,1
EAS,EAS,San Sebastian,San Sebastian,Spain,43.356519,-1.790611,EUR,1,1
SCQ,SCQ,Santiago,Santiago,Spain,42.896333,-8.415144,EUR,1,1
LEU,LEU,Seo De Urgel,Seo De Urgel,Spain,42.338611,1.409167,EUR,1,1
TOJ,TOJ,Torrejon,Madrid,Spain,40.496747,-3.445872,EUR,1,1
VLC,VLC,Valencia,Valencia,Spain,39.489314,-0.481625,EUR,1,1
VLL,VLL,Valladolid,Valladolid,Spain,41.706111,-4.851944,EUR,1,1
VIT,VIT,Vitoria,Vitoria,Spain,42.882836,-2.724469,EUR,1,1
VGO,VGO,Vigo,Vigo,Spain,42.2318,-8.626775,EUR,1,1
SDR,SDR,Santander,Santander,Spain,43.427064,-3.820006,EUR,1,1
ZAZ,ZAZ,Zaragoza Ab,Zaragoza,Spain,41.666242,-1.041553,EUR,1,1
SVQ,SVQ,Sevilla,Sevilla,Spain,37.418,-5.893106,EUR,1,1
QSA,QSA,Sabadell Airport,Sabadell,Spain,41.5209,2.10508,EUR,1,1
PMI,PMI,Son Sant Joan,Palma de Mallorca,Spain,39.55361,2.727778,EUR,1,1
RJL,RJL,Logroño-Agoncillo Airport,Logroño-Agoncillo,Spain,42.4542,-2.32083,EUR,1,1
JCU,JCU,Ceuta Heliport,Ceuta,Spain,35.8969,-5.29908,EUR,1,1
GMZ,GMZ,La Gomera Airport,La Gomera,Spain,28.0296,-17.2146,EUR,1,1
RRA,RRA,Ronda Airport,Ronda,Spain,36.75,-5.166667,EUR,1,1
RGS,RGS,Burgos Airport,Burgos,Spain,42.357628,-3.620764,EUR,1,1
LEN,LEN,Leon Airport,Leon,Spain,42.589,-5.655556,EUR,1,1
ILD,ILD,Lleida-Alguaire Airport,Lleida,Spain,41.727778,0.535833,EUR,1,1
HSK,HSK,Huesca-Pirineos Airport,Huesca,Spain,42.080833,-0.323333,EUR,1,1
CQM,CQM,Ciudad Real Central Airport,Ciudad Real,Spain,38.856389,-3.97,EUR,1,1
NAN,NAN,Nadi Intl,Nandi,Fiji,-17.755392,177.443378,FJD,0.4613,2.1908
SUV,SUV,Nausori Intl,Nausori,Fiji,-18.043267,178.559228,FJD,0.4613,2.1908
LEV,LEV,Levuka Airfield,Levuka,Fiji,-17.68333,178.83333,FJD,0.4613,2.1908
VBV,VBV,Vanua Balavu Airport,Vanua Balavu,Fiji,-17.269,-178.976,FJD,0.4613,2.1908
SVU,SVU,Savusavu Airport,Savusavu,Fiji,-16.8028,179.341,FJD,0.4613,2.1908
RTA,RTA,Rotuma Airport,Rotuma,Fiji,-12.4825,177.071,FJD,0.4613,2.1908
KXF,KXF,Koro Island Airport,Koro Island,Fiji,-17.3458,179.422,FJD,0.4613,2.1908
TVU,TVU,Matei Airport,Matei,Fiji,-16.6906,-179.877,FJD,0.4613,2.1908
LBS,LBS,Labasa Airport,Lambasa,Fiji,-16.466749,179.33986,FJD,0.4613,2.1908
LKB,LKB,Lakeba Island Airport,Lakeba Island,Fiji,-18.1992,-178.817,FJD,0.4613,2.1908
NGI,NGI,Ngau Airport,Ngau,Fiji,-18.1156,179.34,FJD,0.4613,2.1908
MFJ,MFJ,Moala Airport,Moala,Fiji,-18.5667,179.951,FJD,0.4613,2.1908
MNF,MNF,Mana Island Airport,Mana Island,Fiji,-17.6731,177.098,FJD,0.4613,2.1908
KDV,KDV,Vunisea Airport,Vunisea,Fiji,-19.0581,178.157,FJD,0.4613,2.1908
PTF,PTF,Malolo Lailai Island Airport,Malolo Lailai Island,Fiji,-17.7779,177.197,FJD,0.4613,2.1908
ICI,ICI,Cicia Airport,Cicia,Fiji,-17.7433,-179.342,FJD,0.4613,2.1908
MPN,MPN,Mount Pleasant,Mount Pleasant,Falkland Islands,-51.822777,-58.447222,FKP,1.4029,0.7131
PSY,PSY,Stanley Airport,Stanley,Falkland Islands,-51.685672,-57.777644,FKP,1.4029,0.7131
ACI,ACI,Alderney,Alderney,Guernsey,49.706111,-2.214722,GBP,1.4029,0.713
GCI,GCI,Guernsey,Guernsey,Guernsey,49.434956,-2.601969,GBP,1.4029,0.713
IOM,IOM,Isle Of Man,Isle Of Man,Isle of Man,54.083333,-4.623889,GBP,1.4029,0.713
JER,JER,Jersey,Jersey,Jersey,49.207947,-2.195508,GBP,1.4029,0.713
BFS,BFS,Belfast Intl,Belfast,United Kingdom,54.6575,-6.215833,GBP,1.4029,0.713
ENK,ENK,St Angelo,Enniskillen,United Kingdom,54.398889,-7.651667,GBP,1.4029,0.713
BHD,BHD,Belfast City,Belfast,United Kingdom,54.618056,-5.8725,GBP,1.4029,0.713
LDY,LDY,City of Derry,Londonderry,United Kingdom,55.042778,-7.161111,GBP,1.4029,0.713
BHX,BHX,Birmingham,Birmingham,United Kingdom,52.453856,-1.748028,GBP,1.4029,0.713
CVT,CVT,Coventry,Coventry,United Kingdom,52.369722,-1.479722,GBP,1.4029,0.713
GLO,GLO,Gloucestershire,Golouchestershire,United Kingdom,51.894167,-2.167222,GBP,1.4029,0.713
MAN,MAN,Manchester,Manchester,United Kingdom,53.353744,-2.27495,GBP,1.4029,0.713
NQY,NQY,St Mawgan,Newquai,United Kingdom,50.440558,-4.995408,GBP,1.4029,0.713
LYE,LYE,Lyneham,Lyneham,United Kingdom,51.505144,-1.993428,GBP,1.4029,0.713
YEO,YEO,Yeovilton,Yeovilton,United Kingdom,51.009358,-2.638819,GBP,1.4029,0.713
CWL,CWL,Cardiff,Cardiff,United Kingdom,51.396667,-3.343333,GBP,1.4029,0.713
SWS,SWS,Swansea,Swansea,United Kingdom,51.605333,-4.067833,GBP,1.4029,0.713
BRS,BRS,Bristol,Bristol,United Kingdom,51.382669,-2.719089,GBP,1.4029,0.713
LPL,LPL,Liverpool,Liverpool,United Kingdom,53.333611,-2.849722,GBP,1.4029,0.713
LTN,LTN,Luton,London,United Kingdom,51.874722,-0.368333,GBP,1.4029,0.713
PLH,PLH,Plymouth,Plymouth,United Kingdom,50.422778,-4.105833,GBP,1.4029,0.713
BOH,BOH,Bournemouth,Bournemouth,United Kingdom,50.78,-1.8425,GBP,1.4029,0.713
SOU,SOU,Southampton,Southampton,United Kingdom,50.950261,-1.356803,GBP,1.4029,0.713
QLA,QLA,Lasham,Lasham,United Kingdom,51.187167,-1.0335,GBP,1.4029,0.713
ESH,ESH,Shoreham,Shoreham By Sea,United Kingdom,50.835556,-0.297222,GBP,1.4029,0.713
BQH,BQH,Biggin Hill,Biggin Hill,United Kingdom,51.330833,0.0325,GBP,1.4029,0.713
LGW,LGW,Gatwick,London,United Kingdom,51.148056,-0.190278,GBP,1.4029,0.713
LCY,LCY,City,London,United Kingdom,51.505278,0.055278,GBP,1.4029,0.713
FAB,FAB,Farnborough,Farnborough,United Kingdom,51.275833,-0.776333,GBP,1.4029,0.713
BBS,BBS,Blackbushe,Blackbushe,United Kingdom,51.323889,-0.8475,GBP,1.4029,0.713
LHR,LHR,Heathrow,London,United Kingdom,51.4775,-0.461389,GBP,1.4029,0.713
SEN,SEN,Southend,Southend,United Kingdom,51.571389,0.695556,GBP,1.4029,0.713
LYX,LYX,Lydd,Lydd,United Kingdom,50.956111,0.939167,GBP,1.4029,0.713
MSE,MSE,Manston,Manston,United Kingdom,51.342222,1.346111,GBP,1.4029,0.713
CAX,CAX,Carlisle,Carlisle,United Kingdom,54.9375,-2.809167,GBP,1.4029,0.713
BLK,BLK,Blackpool,Blackpool,United Kingdom,53.771667,-3.028611,GBP,1.4029,0.713
HUY,HUY,Humberside,Humberside,United Kingdom,53.574444,-0.350833,GBP,1.4029,0.713
BWF,BWF,Walney Island,Barrow Island,United Kingdom,54.131167,-3.263667,GBP,1.4029,0.713
LBA,LBA,Leeds Bradford,Leeds,United Kingdom,53.865897,-1.660569,GBP,1.4029,0.713
CEG,CEG,Hawarden,Hawarden,United Kingdom,53.178056,-2.977778,GBP,1.4029,0.713
NCL,NCL,Newcastle,Newcastle,United Kingdom,55.0375,-1.691667,GBP,1.4029,0.713
MME,MME,Durham Tees Valley Airport,Teesside,United Kingdom,54.509189,-1.429406,GBP,1.4029,0.713
EMA,EMA,Nottingham East Midlands,East Midlands,United Kingdom,52.831111,-1.328056,GBP,1.4029,0.713
KOI,KOI,Kirkwall,Kirkwall,United Kingdom,58.957778,-2.905,GBP,1.4029,0.713
LSI,LSI,Sumburgh,Sumburgh,United Kingdom,59.878889,-1.295556,GBP,1.4029,0.713
WIC,WIC,Wick,Wick,United Kingdom,58.458889,-3.093056,GBP,1.4029,0.713
ABZ,ABZ,Dyce,Aberdeen,United Kingdom,57.201944,-2.197778,GBP,1.4029,0.713
INV,INV,Inverness,Inverness,United Kingdom,57.5425,-4.0475,GBP,1.4029,0.713
GLA,GLA,Glasgow,Glasgow,United Kingdom,55.871944,-4.433056,GBP,1.4029,0.713
EDI,EDI,Edinburgh,Edinburgh,United Kingdom,55.95,-3.3725,GBP,1.4029,0.713
ILY,ILY,Islay,Islay,United Kingdom,55.681944,-6.256667,GBP,1.4029,0.713
PIK,PIK,Prestwick,Prestwick,United Kingdom,55.509444,-4.586667,GBP,1.4029,0.713
BEB,BEB,Benbecula,Benbecula,United Kingdom,57.481111,-7.362778,GBP,1.4029,0.713
SDZ,SDZ,Scatsta,Scatsta,United Kingdom,60.432778,-1.296111,GBP,1.4029,0.713
DND,DND,Dundee,Dundee,United Kingdom,56.452499,-3.025833,GBP,1.4029,0.713
SYY,SYY,Stornoway,Stornoway,United Kingdom,58.215556,-6.331111,GBP,1.4029,0.713
TRE,TRE,Tiree,Tiree,United Kingdom,56.499167,-6.869167,GBP,1.4029,0.713
ADX,ADX,Leuchars,Leuchars,United Kingdom,56.372889,-2.868444,GBP,1.4029,0.713
LMO,LMO,Lossiemouth,Lossiemouth,United Kingdom,57.705214,-3.339169,GBP,1.4029,0.713
CBG,CBG,Cambridge,Cambridge,United Kingdom,52.205,0.175,GBP,1.4029,0.713
NWI,NWI,Norwich,Norwich,United Kingdom,52.675833,1.282778,GBP,1.4029,0.713
STN,STN,Stansted,London,United Kingdom,51.885,0.235,GBP,1.4029,0.713
EXT,EXT,Exeter,Exeter,United Kingdom,50.734444,-3.413889,GBP,1.4029,0.713
FZO,FZO,Bristol Filton,Bristol,United Kingdom,51.519444,-2.590833,GBP,1.4029,0.713
OXF,OXF,Kidlington,Oxford,United Kingdom,51.836944,-1.32,GBP,1.4029,0.713
MHZ,MHZ,Mildenhall,Mildenhall,United Kingdom,52.361933,0.486406,GBP,1.4029,0.713
FFD,FFD,Fairford,Fairford,United Kingdom,51.682167,-1.790028,GBP,1.4029,0.713
BZZ,BZZ,Brize Norton,Brize Norton,United Kingdom,51.749964,-1.583617,GBP,1.4029,0.713
